brand_name,shoe_type,Condition 1_median_price,Condition 2_median_price,Condition 3_median_price,Condition 4–5_median_price,Condition 1_listing_count,Condition 2_listing_count,Condition 3_listing_count,Condition 4–5_listing_count,condition_2_retention_percent,condition_3_retention_percent,condition_4_5_retention_percent,condition_pattern
Jack Rogers,Sandals,34.5,35.0,36.0,21.0,18.0,24.0,50.0,9.0,101.44927536231884,104.34782608695652,,Non-monotonic price pattern
Jeffery Campbell,Boots,107.5,67.5,55.5,30.5,16.0,32.0,48.0,4.0,62.7906976744186,51.627906976744185,,Expected decline pattern
Jessica Simpson,Pumps,24.5,23.5,19.0,14.0,22.0,66.0,105.0,6.0,95.91836734693877,77.55102040816327,,Expected decline pattern
Jordans,Athletic,65.5,63.5,48.0,30.0,10.0,32.0,44.0,7.0,96.94656488549617,73.2824427480916,,Expected decline pattern
Kate Spade,Sandals,35.5,24.0,21.0,,16.0,14.0,6.0,,67.6056338028169,,,Expected decline pattern
L.L. Bean,Boots,71.0,86.0,71.0,36.0,13.0,24.0,61.0,5.0,121.12676056338027,100.0,,Non-monotonic price pattern
Lilly Pulitzer,Sandals,35.0,33.0,30.0,24.0,19.0,8.0,21.0,5.0,,85.71428571428571,,Expected decline pattern
Lucky Brand,Boots,52.0,40.0,28.5,,20.0,39.0,50.0,,76.92307692307693,54.807692307692314,,Expected decline pattern
Lucky Brand,Flats,27.0,20.5,17.5,12.0,21.0,42.0,70.0,5.0,75.92592592592592,64.81481481481481,,Expected decline pattern
Merona,Boots,24.5,22.0,16.5,,10.0,17.0,24.0,,89.79591836734694,67.3469387755102,,Expected decline pattern
Merona,Sandals,12.0,14.5,13.0,10.0,16.0,28.0,49.0,5.0,120.83333333333333,108.33333333333333,,Non-monotonic price pattern
Michael Kors,Boots,71.0,57.0,46.0,31.5,39.0,71.0,107.0,12.0,80.28169014084507,64.7887323943662,44.36619718309859,Expected decline pattern
Michael Kors,Fashion Sneakers,48.5,37.5,31.0,20.0,34.0,26.0,52.0,4.0,77.31958762886599,63.91752577319587,,Expected decline pattern
Michael Kors,Flats,46.0,33.0,26.0,21.0,48.0,60.0,94.0,29.0,71.73913043478261,56.52173913043478,45.65217391304348,Expected decline pattern
Michael Kors,Loafers & Slip-Ons,36.0,33.0,28.0,11.0,23.0,13.0,27.0,2.0,91.66666666666666,77.77777777777779,,Expected decline pattern
Michael Kors,Pumps,42.0,34.0,26.0,18.0,40.0,58.0,121.0,11.0,80.95238095238095,61.904761904761905,42.857142857142854,Expected decline pattern
Michael Kors,Sandals,33.5,31.0,23.0,15.0,158.0,141.0,201.0,38.0,92.53731343283582,68.65671641791045,44.776119402985074,Expected decline pattern
Mossimo,Boots,20.0,21.0,16.0,12.0,19.0,47.0,76.0,8.0,105.0,80.0,,Non-monotonic price pattern
Mossimo,Flats,14.0,13.0,10.0,6.0,23.0,41.0,79.0,2.0,92.85714285714286,71.42857142857143,,Expected decline pattern
Mossimo,Pumps,15.5,16.0,12.0,9.0,12.0,27.0,37.0,3.0,103.2258064516129,77.41935483870968,,Non-monotonic price pattern
Mossimo,Sandals,14.0,14.0,13.0,9.0,23.0,31.0,51.0,3.0,100.0,92.85714285714286,,Expected decline pattern
New Balance,Athletic,46.0,29.0,24.0,15.5,67.0,131.0,185.0,16.0,63.04347826086957,52.17391304347826,33.69565217391305,Expected decline pattern
Nike,Athletic,62.0,41.0,30.0,19.0,1691.0,1919.0,3751.0,473.0,66.12903225806451,48.38709677419355,30.64516129032258,Expected decline pattern
Nike,Fashion Sneakers,70.5,46.0,36.0,18.0,104.0,166.0,271.0,26.0,65.24822695035462,51.06382978723404,25.53191489361702,Expected decline pattern
Nike,Sandals,26.0,19.0,16.0,10.0,185.0,118.0,181.0,18.0,73.07692307692307,61.53846153846154,38.46153846153847,Expected decline pattern
Nine West,Boots,27.5,24.0,21.0,16.0,14.0,29.0,65.0,3.0,87.27272727272727,76.36363636363637,,Expected decline pattern
Nine West,Flats,24.0,18.0,14.0,10.0,12.0,21.0,28.0,3.0,75.0,58.333333333333336,,Expected decline pattern
Nine West,Pumps,24.0,18.0,16.0,15.0,27.0,63.0,88.0,4.0,75.0,66.66666666666666,,Expected decline pattern
Nordstrom,Loafers & Slip-Ons,40.5,26.0,23.0,14.0,12.0,23.0,39.0,5.0,64.19753086419753,56.79012345679012,,Expected decline pattern
Nordstrom,Sandals,71.0,45.0,40.0,23.5,11.0,25.0,50.0,4.0,63.38028169014085,56.33802816901409,,Expected decline pattern
Old Navy,Flats,14.0,10.0,10.0,8.0,16.0,12.0,29.0,3.0,71.42857142857143,71.42857142857143,,Expected decline pattern
Old Navy,Sandals,10.0,10.0,10.0,16.0,40.0,41.0,49.0,3.0,100.0,100.0,,Expected decline pattern
PINK,Sandals,30.0,24.0,20.0,18.0,848.0,133.0,81.0,8.0,80.0,66.66666666666666,,Expected decline pattern
PUMA,Athletic,36.0,33.0,21.0,14.0,30.0,43.0,94.0,13.0,91.66666666666666,58.333333333333336,38.88888888888889,Expected decline pattern
PUMA,Fashion Sneakers,109.0,54.0,36.0,30.5,145.0,141.0,140.0,16.0,49.54128440366973,33.02752293577982,27.981651376146786,Expected decline pattern
PUMA,Sandals,69.5,55.0,49.0,,66.0,11.0,11.0,,79.13669064748201,70.50359712230215,,Expected decline pattern
Reebok,Athletic,33.0,26.0,25.0,23.0,47.0,79.0,172.0,15.0,78.78787878787878,75.75757575757575,69.6969696969697,Expected decline pattern
Roxy,Sandals,14.5,14.0,10.0,14.5,16.0,3.0,20.0,2.0,,68.96551724137932,,Expected decline pattern
SKECHERS,Athletic,28.5,22.0,18.0,16.0,52.0,87.0,133.0,5.0,77.19298245614034,63.1578947368421,,Expected decline pattern
SKECHERS,Fashion Sneakers,26.0,19.0,16.0,16.0,12.0,10.0,33.0,1.0,73.07692307692307,61.53846153846154,,Expected decline pattern
SKECHERS,Loafers & Slip-Ons,26.0,20.0,15.0,15.0,47.0,55.0,85.0,5.0,76.92307692307693,57.692307692307686,,Expected decline pattern
SKECHERS,Sandals,18.5,16.0,13.0,7.5,12.0,27.0,33.0,2.0,86.48648648648648,70.27027027027027,,Expected decline pattern
SO,Boots,32.5,20.0,16.0,,10.0,8.0,10.0,,,49.23076923076923,,Expected decline pattern
Sam Edelman,Boots,48.5,44.5,36.0,18.0,20.0,26.0,46.0,4.0,91.75257731958763,74.22680412371135,,Expected decline pattern
Sam Edelman,Flats,39.0,29.0,21.5,,10.0,13.0,24.0,,74.35897435897436,55.12820512820513,,Expected decline pattern
Sam Edelman,Sandals,30.0,24.5,20.0,21.0,13.0,26.0,34.0,3.0,81.66666666666667,66.66666666666666,,Expected decline pattern
Sanuk,Sandals,25.0,19.0,18.0,,27.0,30.0,30.0,,76.0,72.0,,Expected decline pattern
Sperry,Loafers & Slip-Ons,51.0,30.0,22.0,15.0,11.0,74.0,122.0,13.0,58.82352941176471,43.13725490196079,29.411764705882355,Expected decline pattern
Sperrys,Loafers & Slip-Ons,36.0,28.0,21.0,15.0,29.0,76.0,132.0,17.0,77.77777777777779,58.333333333333336,41.66666666666667,Expected decline pattern
Steve Madden,Boots,39.0,31.5,26.0,16.0,85.0,186.0,260.0,35.0,80.76923076923077,66.66666666666666,41.02564102564102,Expected decline pattern
Steve Madden,Fashion Sneakers,39.5,30.5,27.5,19.5,14.0,28.0,38.0,4.0,77.21518987341773,69.62025316455697,,Expected decline pattern
Steve Madden,Flats,21.5,19.5,16.0,11.0,20.0,46.0,82.0,4.0,90.69767441860465,74.4186046511628,,Expected decline pattern
Steve Madden,Loafers & Slip-Ons,28.0,26.0,23.0,15.0,13.0,25.0,43.0,1.0,92.85714285714286,82.14285714285714,,Expected decline pattern
Steve Madden,Pumps,31.0,24.0,20.0,14.0,53.0,152.0,205.0,23.0,77.41935483870968,64.51612903225806,45.16129032258064,Expected decline pattern
Steve Madden,Sandals,34.0,25.0,19.0,13.0,51.0,113.0,171.0,26.0,73.52941176470588,55.88235294117647,38.23529411764706,Expected decline pattern
Stuart Weitzman,Boots,318.0,306.0,237.0,109.0,10.0,15.0,12.0,1.0,96.22641509433963,74.52830188679245,,Expected decline pattern
TOMS,Boots,50.0,36.0,25.0,18.0,13.0,24.0,27.0,2.0,72.0,50.0,,Expected decline pattern
TOMS,Flats,31.0,21.0,18.0,12.0,39.0,46.0,115.0,20.0,67.74193548387096,58.06451612903226,38.70967741935484,Expected decline pattern
TOMS,Loafers & Slip-Ons,30.0,25.0,18.0,12.0,128.0,106.0,290.0,64.0,83.33333333333334,60.0,40.0,Expected decline pattern
TOMS,Sandals,24.5,24.5,24.5,16.0,10.0,16.0,20.0,3.0,100.0,100.0,,Expected decline pattern
The North Face,Boots,56.0,44.0,35.0,31.0,11.0,20.0,24.0,1.0,78.57142857142857,62.5,,Expected decline pattern
Timberland,Boots,80.0,59.0,43.5,30.0,72.0,137.0,202.0,17.0,73.75,54.37499999999999,37.5,Expected decline pattern
Tommy Hilfiger,Sandals,26.5,14.5,13.0,11.5,16.0,12.0,19.0,2.0,54.71698113207547,49.056603773584904,,Expected decline pattern
Torrid,Boots,41.0,26.0,26.0,21.0,17.0,11.0,9.0,1.0,63.41463414634146,,,Expected decline pattern
Tory Burch,Boots,144.0,122.5,102.5,41.0,21.0,18.0,64.0,5.0,85.06944444444444,71.18055555555556,,Expected decline pattern
Tory Burch,Flats,96.0,70.0,55.0,30.0,63.0,114.0,362.0,104.0,72.91666666666666,57.291666666666664,31.25,Expected decline pattern
Tory Burch,Sandals,90.0,66.0,65.0,27.0,183.0,173.0,448.0,70.0,73.33333333333333,72.22222222222221,30.0,Expected decline pattern
UGG,Boots,81.0,56.5,32.5,20.5,16.0,16.0,30.0,4.0,69.75308641975309,40.123456790123456,,Expected decline pattern
UGG Australia,Boots,102.0,69.0,49.0,26.0,599.0,660.0,1452.0,322.0,67.64705882352942,48.03921568627451,25.49019607843137,Expected decline pattern
UGG Australia,Loafers & Slip-Ons,60.0,45.0,31.0,22.0,43.0,48.0,80.0,11.0,75.0,51.66666666666667,36.666666666666664,Expected decline pattern
UGG Australia,Sandals,36.0,26.0,25.0,12.0,10.0,13.0,19.0,1.0,72.22222222222221,69.44444444444444,,Expected decline pattern
Under Armour,Athletic,45.5,31.0,23.5,15.5,30.0,61.0,126.0,18.0,68.13186813186813,51.64835164835166,34.065934065934066,Expected decline pattern
Under Armour,Sandals,22.0,18.0,13.0,16.0,11.0,8.0,12.0,1.0,,59.09090909090909,,Expected decline pattern
VANS,Athletic,36.0,31.5,21.0,14.5,23.0,16.0,40.0,8.0,87.5,58.333333333333336,,Expected decline pattern
VANS,Fashion Sneakers,38.0,28.0,22.0,15.0,331.0,653.0,1083.0,146.0,73.68421052631578,57.89473684210527,39.473684210526315,Expected decline pattern
VANS,Loafers & Slip-Ons,34.5,29.5,26.0,16.0,24.0,36.0,45.0,15.0,85.5072463768116,75.36231884057972,46.3768115942029,Expected decline pattern
Victoria's Secret,Sandals,28.0,25.0,15.5,7.5,195.0,26.0,22.0,2.0,89.28571428571429,55.35714285714286,,Expected decline pattern
Vince Camuto,Boots,60.0,41.0,31.0,17.0,25.0,31.0,37.0,2.0,68.33333333333333,51.66666666666667,,Expected decline pattern
Vince Camuto,Pumps,38.5,26.0,28.0,17.0,16.0,25.0,29.0,2.0,67.53246753246754,72.72727272727273,,Expected decline pattern
Vince Camuto,Sandals,36.0,30.5,24.0,,11.0,24.0,30.0,,84.72222222222221,66.66666666666666,,Expected decline pattern
Wet Seal,Boots,23.0,17.5,14.0,9.5,15.0,18.0,20.0,4.0,76.08695652173914,60.86956521739131,,Expected decline pattern
Wet Seal,Sandals,10.0,12.0,10.0,10.5,17.0,12.0,18.0,2.0,120.0,100.0,,Non-monotonic price pattern
ZARA,Boots,50.0,28.0,26.0,21.0,22.0,13.0,21.0,1.0,56.00000000000001,52.0,,Expected decline pattern
ZARA,Flats,38.0,24.5,20.5,12.0,14.0,8.0,14.0,2.0,,53.94736842105263,,Expected decline pattern
ZARA,Pumps,36.0,20.0,28.0,18.0,14.0,11.0,31.0,2.0,55.55555555555556,77.77777777777779,,Expected decline pattern
ZARA,Sandals,31.0,30.0,21.0,,13.0,5.0,21.0,,,67.74193548387096,,Expected decline pattern
adidas Originals,Athletic,163.0,118.0,53.0,4.0,74.0,17.0,18.0,1.0,72.39263803680981,32.515337423312886,,Expected decline pattern
adidas Originals,Fashion Sneakers,75.0,58.0,41.0,20.0,53.0,32.0,66.0,1.0,77.33333333333333,54.666666666666664,,Expected decline pattern
rue,Boots,21.0,16.0,14.0,,11.0,13.0,16.0,,76.19047619047619,66.66666666666666,,Expected decline pattern
